propertyCode,numPhotos,floor,price,propertyType,size,exterior,rooms,bathrooms,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,parkingSpacePrice,cluster_label
97693036,30,11,1500.0,penthouse,80.0,True,3,2,True,good,False,True,19.0,False,False,False,False,False,True,True,True,0.0,1
98039610,18,3,1600.0,flat,193.0,True,4,1,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0,0
98042660,9,3,850.0,flat,110.0,True,3,1,False,good,False,False,8.0,False,False,False,False,False,True,False,False,0.0,0
98042528,29,3,950.0,flat,101.0,True,3,2,False,good,False,True,9.0,False,False,True,False,False,True,False,False,0.0,0
98042519,18,0,900.0,flat,45.0,True,1,1,False,good,False,True,20.0,False,False,False,False,False,True,False,False,0.0,0
98042463,15,3,1290.0,flat,110.0,True,3,2,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0,0
98042205,47,1,800.0,flat,100.0,True,2,2,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0,0
97791775,40,2,1700.0,flat,113.0,True,5,2,False,good,False,True,15.0,False,False,False,False,False,True,False,False,0.0,0
97725193,39,1,1700.0,flat,110.0,True,5,2,False,good,False,True,15.0,False,False,False,False,False,True,False,False,0.0,0
98042144,16,4,800.0,flat,71.0,True,3,1,False,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0,0
98042096,45,4,750.0,flat,64.0,True,2,1,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0,0
98042077,8,0,630.0,flat,65.0,True,3,1,True,good,False,True,10.0,True,False,False,False,False,True,False,False,0.0,0
93429739,16,3,460.0,flat,92.0,True,3,1,False,good,False,False,5.0,False,False,False,False,False,True,False,False,0.0,1
98041994,22,6,850.0,flat,96.0,True,2,2,False,good,False,True,9.0,False,True,False,False,False,True,True,True,0.0,0
98041979,18,0,1200.0,flat,56.0,True,2,2,False,good,False,True,21.0,False,False,False,False,False,True,False,False,0.0,0
98041736,6,9,700.0,penthouse,70.0,True,2,1,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
98041224,35,4,900.0,flat,100.0,True,3,1,False,good,False,False,9.0,False,False,False,False,False,True,False,False,0.0,0
96230035,24,4,850.0,flat,59.0,True,3,1,False,good,False,True,14.0,False,False,False,False,False,True,False,False,0.0,0
98040986,33,3,900.0,flat,105.0,True,4,2,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0,0
98040798,9,6,1100.0,penthouse,85.0,True,3,2,False,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0,0
98040635,10,11,900.0,flat,100.0,True,3,2,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0,0
98040601,25,3,1200.0,flat,77.0,True,2,1,True,good,False,True,16.0,False,False,False,False,False,True,False,False,0.0,0
93527451,32,4,1100.0,flat,130.0,True,3,2,True,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0,0
88617288,17,1,800.0,flat,85.0,True,2,1,False,good,False,False,9.0,False,False,False,False,False,True,False,False,0.0,0
98040198,22,1,2000.0,flat,92.0,True,4,2,False,good,False,False,22.0,False,False,False,False,False,True,False,False,0.0,2
98040156,19,1,700.0,flat,84.0,True,1,1,False,good,False,False,8.0,False,False,False,False,False,True,False,False,0.0,0
93741608,20,1,800.0,flat,70.0,True,2,1,False,good,False,False,11.0,False,False,False,False,False,True,False,False,0.0,0
90572683,18,2,1200.0,flat,120.0,True,4,1,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
98039944,18,8,1900.0,flat,174.0,True,4,2,True,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0,0
97948119,60,0,4000.0,chalet,437.0,False,5,5,False,good,False,False,9.0,False,False,False,False,False,True,True,True,0.0,0
97993156,42,1,1900.0,flat,191.0,True,4,2,False,good,False,False,10.0,False,False,False,False,False,True,False,False,0.0,0
98009651,53,0,3700.0,chalet,533.0,False,5,6,False,good,False,False,7.0,False,False,False,False,False,True,False,False,0.0,3
98009662,22,1,1700.0,flat,134.0,False,3,2,False,renew,False,True,13.0,False,False,False,False,False,True,True,True,0.0,0
98025184,34,7,3700.0,penthouse,215.0,True,4,3,False,good,False,True,17.0,False,False,False,False,False,True,False,False,0.0,0
98025196,32,1,2100.0,flat,162.0,True,3,2,False,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0,0
98037636,42,1,3500.0,flat,188.0,True,4,3,False,good,False,True,19.0,False,False,False,False,False,True,False,False,0.0,0
95481391,45,8,1500.0,penthouse,106.0,True,3,2,False,good,False,True,14.0,True,False,False,False,False,True,False,False,0.0,0
98039736,31,8,1400.0,flat,149.0,True,5,2,True,good,False,True,9.0,False,False,False,False,False,True,True,False,100.0,0
91025596,2,3,575.0,flat,53.0,False,2,1,False,good,False,False,11.0,False,False,False,False,False,True,False,False,0.0,0
98039625,28,0,3600.0,chalet,280.0,False,3,4,False,good,False,False,13.0,False,False,False,False,False,True,True,True,0.0,3
98039623,25,1,1400.0,flat,90.0,True,3,1,False,good,False,True,16.0,False,False,False,False,False,True,False,False,0.0,0
98039608,31,2,1800.0,flat,124.0,True,2,2,False,good,False,True,15.0,False,False,False,False,False,True,False,False,0.0,0
82389659,9,7,750.0,flat,80.0,True,1,1,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0,0
98039560,25,1,1000.0,flat,75.0,True,2,2,False,good,False,True,13.0,True,False,False,False,False,True,True,True,0.0,0
98039405,10,7,850.0,penthouse,75.0,True,2,1,False,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0,0
97922847,20,0,1600.0,chalet,200.0,False,5,3,True,good,False,False,8.0,False,False,False,False,False,True,True,True,0.0,0
98039381,14,4,650.0,flat,48.0,True,1,1,False,good,False,True,14.0,False,False,False,False,False,True,True,True,0.0,0
98039236,16,2,700.0,penthouse,85.0,True,2,2,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0,0
87466053,34,8,1200.0,penthouse,98.0,True,3,2,False,good,False,True,12.0,False,False,False,False,False,True,True,True,0.0,3
