propertyCode,price,numPhotos,floor,rooms,bathrooms,size,parkingSpacePrice,exterior,hasParkingSpace,isParkingSpaceIncludedInPrice,hasLift,hasPlan,has360,has3DTour,hasVideo,propertyType,direction
98616112,450.0,9,0,2,1,60.0,0.0,False,False,False,False,False,False,False,False,flat,south
94355843,950.0,15,1,2,1,91.0,0.0,True,False,False,True,False,False,False,False,flat,central
98616050,750.0,17,9,3,1,93.0,0.0,True,False,False,True,False,False,False,False,flat,central
98615697,2100.0,27,10,3,2,122.0,0.0,True,True,True,True,True,False,False,False,flat,central
98615640,1000.0,17,3,3,2,110.0,0.0,True,False,False,False,False,False,False,True,flat,central
91059629,800.0,18,2,3,1,90.0,0.0,True,False,False,False,False,False,False,False,flat,central
98615570,950.0,11,2,2,2,104.0,0.0,True,False,False,False,False,False,False,False,duplex,central
96848811,620.0,11,0,2,1,60.0,0.0,False,False,False,False,False,False,False,False,flat,central
98600063,950.0,17,4,2,1,95.0,0.0,True,False,False,False,False,False,False,True,flat,central
96622945,2000.0,30,1,4,2,280.0,0.0,True,False,False,True,True,False,False,True,flat,central
97942039,1290.0,19,3,3,2,115.0,0.0,True,False,False,True,True,False,False,True,flat,central
97958356,975.0,31,3,2,1,96.0,0.0,True,False,False,False,False,False,False,False,flat,central
98353600,1450.0,20,1,3,2,178.0,100.0,True,True,False,True,True,False,False,True,flat,central
98413020,950.0,22,0,2,2,68.0,0.0,True,False,False,False,True,False,False,True,flat,central
98426942,900.0,12,8,2,1,85.0,0.0,True,True,True,True,True,False,False,True,flat,central
98548984,1280.0,26,4,4,2,144.0,0.0,True,False,False,True,False,False,False,False,flat,central
98582067,1400.0,15,5,3,2,110.0,120.0,True,True,False,True,True,False,False,True,flat,central
98614986,1800.0,1,0,4,2,220.0,0.0,False,False,False,False,False,False,False,False,chalet,west
35690787,3300.0,27,0,4,4,384.0,0.0,False,True,True,False,False,False,False,False,chalet,central
98614667,1100.0,42,6,4,1,83.0,0.0,True,False,False,True,False,False,False,True,flat,central
98614569,1200.0,41,6,1,1,144.0,0.0,True,True,True,True,False,False,False,False,penthouse,central
98614184,1300.0,25,2,5,1,200.0,0.0,True,False,False,False,False,False,False,False,flat,central
98224360,410.0,30,2,3,1,95.0,0.0,True,False,False,True,False,False,False,True,flat,south
96100084,1040.0,16,4,3,2,140.0,0.0,True,True,True,True,False,False,False,False,flat,central
98614139,1000.0,29,2,2,2,143.0,0.0,True,True,True,True,False,False,False,False,duplex,west
98607116,1200.0,54,4,1,1,99.0,0.0,True,True,True,True,False,False,False,False,penthouse,central
98583234,2000.0,42,4,3,2,152.0,0.0,True,True,True,True,False,False,False,False,duplex,central
98579076,1600.0,33,1,2,1,100.0,0.0,True,True,True,True,False,False,False,False,flat,central
98576278,3000.0,35,0,4,3,350.0,0.0,False,True,True,False,False,False,False,False,chalet,west
98570487,1300.0,1,0,2,2,75.0,0.0,True,False,False,False,False,False,False,False,duplex,central
98564882,1700.0,24,2,2,2,60.0,0.0,True,False,False,True,False,False,False,False,flat,central
98561752,1300.0,1,5,3,1,75.0,0.0,True,False,False,True,False,False,False,False,flat,central
98558351,1700.0,8,8,4,2,160.0,0.0,True,True,True,True,False,False,False,False,flat,central
98557552,1500.0,31,2,0,1,100.0,0.0,True,False,False,False,False,False,False,False,studio,central
98543609,1950.0,20,0,3,1,150.0,0.0,False,True,True,False,False,False,False,False,chalet,west
98523293,1800.0,33,2,2,1,103.0,0.0,True,False,False,True,False,False,False,False,flat,central
98519791,1500.0,29,4,1,1,61.0,0.0,True,False,False,True,False,False,False,False,penthouse,central
98517543,1600.0,15,2,2,2,110.0,0.0,True,False,False,True,False,False,False,False,flat,central
98514431,1600.0,41,6,3,2,116.0,0.0,True,False,False,True,False,False,False,False,flat,central
98507114,2500.0,47,0,5,3,690.0,0.0,False,False,False,False,False,False,False,False,chalet,central
98485878,1650.0,44,13,3,2,176.0,0.0,True,False,False,True,False,False,False,False,flat,central
98481812,2300.0,43,5,5,3,177.0,0.0,True,True,True,True,False,False,False,False,flat,central
98481411,2000.0,56,0,5,3,254.0,0.0,False,True,True,False,False,False,False,False,chalet,west
98472614,2050.0,38,4,1,2,84.0,0.0,True,False,False,True,False,False,False,False,penthouse,central
98472545,1650.0,32,1,1,2,70.0,0.0,True,False,False,True,False,False,False,False,flat,central
98449452,1600.0,21,3,1,1,60.0,0.0,True,False,False,True,False,False,False,False,flat,central
98447570,1600.0,27,8,1,1,72.0,0.0,True,True,True,True,False,False,False,False,flat,central
98446330,2300.0,27,8,1,1,85.0,0.0,True,True,True,True,False,False,False,False,flat,central
98444357,2000.0,24,0,2,1,150.0,0.0,False,True,True,False,False,False,False,False,chalet,north
98417472,1100.0,13,5,3,2,116.0,0.0,True,True,True,True,False,False,False,False,flat,central
98616219,700.0,22,5,4,2,95.0,0.0,True,True,True,True,False,False,False,False,flat,central
