propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,superTopHighlight,parkingSpace,labels,newDevelopmentFinished
98640440,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/88/69/1018918573.jpg,027228,34,3,700.0,flat,rent,90.0,True,3,2,Calle de Jacomart,València,València,Rascanya,es,Torrefiel,39.4952725,-0.3800275,False,https://www.idealista.com/inmueble/98640440/,"Magnifico vivienda en edificio de ladrillo caravista, en perfecto estado, para entrar a vivir. Recién pintado y totalmente exterior. Con buena distribución, tres dormitorios, dos baños, el dormitorio principal es bastante grande y tiene aseo incorporado. El salón comedor amplio en forma cuadrada con grandes ventanales, por los que entrar gran cantidad de luz, también cuentas con vistas despejadas. Cocina con galería. La vivienda se alquila con electrodomésticos y algunos muebles, solo los que aparecen en la imágenes.  La zona cuenta con todos los servicios, supermercados, cafeterías, colegios, farmacias, etc. Además tiene buena comunicación con el transporte público. KASABIBA, a lo largo de su trayectoria de más de 25 años en el sector inmobiliario, se ha convertido en la inmobiliaria de referencia gracias a la fidelidad y confianza que sus clientes han depositado en ella. Nuestro equipo humano está orientado a obtener la satisfacción plena de los clientes con diligencia y eficacia, dando un servicio personalizado. Asesoramiento personalizado, búsqueda de financiación. En nuestra web podrás visualizar nuestra cartera de viviendas completa, Si tienes cualquier duda o consulta sobre alguna de nuestras viviendas o quieres comentarnos que es lo que vas buscando para que te ayudemos a localizarlo, no dudes en contactar con nosotros. ¡Estaremos encantados de atenderte! El presente anuncio, se muestra a título informativo, no vinculante, ni contractual, con posibilidad de variaciones o erratas.",False,good,False,True,8.0,{'typology': 'flat'},"{'subtitle': 'Torrefiel, València', 'title': 'Piso en Calle de Jacomart'}",False,False,False,False,False,False,,,
97503238,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/25/96/981366050.jpg,,18,7,650.0,flat,rent,68.0,True,3,1,Calle Doctor Nicasio Benlloch,València,València,Benicalap,es,Benicalap,39.4871568,-0.3887364,False,https://www.idealista.com/inmueble/97503238/,"Vive en una estupenda zona de Valencia en un piso acogedor, tranquilo y luminoso, rodeado de todos los servicios y bien comunicado. Está distribuído en amplio comedor-salón, cocina independiente con galería, 3 habitaciones con amarios y 1 cuarto de baño con ducha grande y mampara. Cocina y baño reformados, suelos de gres, ventanales de aluminio, muy aseado y bien cuidado. La vivienda se alquila completamente amueblada y equipada con electrodomésticos. Edificio muy tranquilo con buen vecindario, se encuentra muy cerca de Hipercor, el mercado de Benicalap, el centro de urgencias La Fé, los centros PROP Gregorio Gea de Valencia, y Nuevo Centro. Paradas de autobús y metro de Campanar. Imprescindible acreditar solvencia. ¡No te lo pienses, ven a verlo!",False,good,False,True,10.0,{'typology': 'flat'},"{'subtitle': 'Benicalap, València', 'title': 'Piso en Calle Doctor Nicasio Benlloch'}",False,False,False,False,False,False,,,
98641924,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/44/cb/1018997901.jpg,46-00882,28,3,750.0,flat,rent,85.0,True,2,1,Calle Lepant,València,Playa de Farnals,,es,,39.5635087,-0.2917867,False,https://www.idealista.com/inmueble/98641924/,ALQUILER PROTEGIDO pone a su disposición Fantástica Vivienda en Playa Puebla de Farnals de Dos Dormitorios Amueblada con Amplia Terraza en la que poder disfrutar del aire libre y preciosas vistas. Piscina Comunitaria.,False,good,False,False,9.0,{'typology': 'flat'},"{'subtitle': 'Playa de Farnals', 'title': 'Piso en Calle Lepant'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
98605599,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/54/19/a3/1017943672.jpg,A69,37,13,1650.0,flat,rent,189.0,True,3,2,Avenida del Primat Reig,València,València,Benimaclet,es,Benimaclet,39.4772053,-0.3559422,False,https://www.idealista.com/inmueble/98605599/,"ValHomes le ofrece este magnífico piso en un barrio emblemático de Valencia, junto al colegio del pilar y el campus universitario, entorno único con vistas de toda la ciudad.    Esta vivienda cuenta con una superficie de 189 m2 distribuidos de la siguiente forma: un amplio y cómodo recibidor con comedor integrado luminoso, dos baños grandes y completos, tres dormitorios muy amplios, cocina independiente totalmente equipada con todos los electrodomésticos, cuenta además con terraza con vista exterior, conserje y cuatro ascensores a disposición y trastero. Además se encuentra a metros de todo tipo de servicios, Autobús EMT, supermercados, farmacias, restaurantes, cafeterías, gimnasios, Ubicado a minutos del centro de Valencia    No pierdas la oportunidad y ven a visitarlo con ValHomes, te estamos esperando.",True,good,False,True,9.0,{'typology': 'flat'},"{'subtitle': 'Benimaclet, València', 'title': 'Piso en Avenida del Primat Reig'}",True,False,False,False,False,False,,,
98609947,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a5/c8/c2/1018014399.jpg,A71,26,3,980.0,flat,rent,65.0,True,2,1,Avenida de Burjassot,València,València,Benicalap,es,Benicalap,39.4914687,-0.3929203,False,https://www.idealista.com/inmueble/98609947/,"Luminoso apartamento de diseño completamente reformado con excelente ubicación, a escasos metros del Nou Mestalla. La zona en la que se encuentra el inmueble es fantástica en cuanto a transporte público, ya que justo enfrente encontrarás una parada de autobús, metro y tranvía. Cerca del piso también se localizan gimnasios, piscinas públicas, supermercados, centros comerciales, farmacias y todo tipo de servicios de uso cotidiano.    Esta vivienda completamente amueblada, se distribuye en un amplio salón comedor con balcón, que consta de un trastero para almacenaje y dos ventanas exteriores, 2 habitaciones, 1 baño completo y cocina independiente totalmente equipada con microondas, vitrocerámica y lavadora, entre otros. Destaca su suelo de parquet y ventanas climalit.   El apartamento está dotado de menaje de cocina y ropa de cama.    Respecto a las calidades, cabe destacar que se dispone de ascensor, aire acondicionado  con bomba de frío y calor y wifi incluido en el precio, además de los gastos comunitarios.    Si estás interesad@ en visitar esta vivienda, no dudes en contactar con nosotros, estaremos encantados de atenderte.",False,good,False,True,15.0,{'typology': 'flat'},"{'subtitle': 'Benicalap, València', 'title': 'Piso en Avenida de Burjassot'}",True,False,False,False,False,False,,,
98547728,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f1/aa/de/1018989481.jpg,A10,25,bj,1075.0,duplex,rent,110.0,True,1,2,"Calle dels Gremis, 1",València,València,Patraix,es,Vara de Quart,39.4624735,-0.4115014,True,https://www.idealista.com/inmueble/98547728/,"Ubicado en zona de expansión, en el complejo residencial Ciudad Gran Turia, se encuentra este precioso dúplex tipo Loft de 115 m² repartidos en dos alturas. La vivienda está completamente amueblada con muebles de diseño y guardando una línea vanguardista, con líneas blancas y neutras. La planta baja la compone un cuarto de baño con ducha, cocina completamente equipada integrada en el salón que nos da acceso a un amplio balcón. Con los techos altos tenemos gran luminosidad y espacio. En la planta primera se encuentra el dormitorio con cama de matrimonio, una vestidor y un cuarto de baño completo con ducha. Dispone de una plaza de garaje incluida en el precio. La zona está consolidada y dispone de todos los servicios. Muy cerca del centro comercial Gran Turia con todo tipo de comercios, cines, supermercado. Con buen acceso a la autovía V30, a 8km del Aeropuerto de València y a 10 minutos del centro de la ciudad. Si lo que busca es un diseño moderno en un entorno tranquilo este piso le encantará. En definitiva, estamos ante una interesante y singular vivienda que se puede disfrutar todo el año. Si está interesado en visitar esta propiedad, no dude en ponerse en contacto con nosotros, estaremos encantados de atenderle.",True,good,False,True,10.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Vara de Quart, València', 'title': 'Dúplex en Calle dels Gremis, 1'}",True,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
88700838,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1f/a8/6b/753104975.jpg,P461203C,14,2,1070.0,flat,rent,90.0,True,2,2,Paseo Serra d 'Espadá,València,Alboraya,La Patacona,es,,39.48953,-0.3272,False,https://www.idealista.com/inmueble/88700838/,"Preciosos apartamentos de dos habitaciones, con terraza privada, plaza de parking y trastero en uno de los mejores residenciales de Platja de la Patacona, con piscina comunitaria, zonas ajardinadas, zona de juegos infantiles y vigilancia 24/7. Las viviendas cuentan con sistema de aire acondicionado frío/calor por conductos y ventanales de doble acristalamiento que garantizan el confort de sus habitadores, y cuentan con cocina completamente equipada incluyendo lavavajillas. Los inmuebles gozan de gran luminosidad y vistas despejadas, constan a partir de 83 m² de vivienda y entre 12 m² y 35 m² de terraza privada, y están distribuidos en hall-recibidor, amplio salón-comedor con acceso terraza con vistas al mar, cocina completamente equipada con acceso a galería, amplia habitación doble con armariada empotrada y baño ensuite con ducha de hidromasaje, segunda habitación con armariada empotrada, y baño completo con ducha hidromasaje en zona común. El arrendamiento incluye una cómoda plaza de parking y trastero en el mismo edificio. Gran oportunidad en exclusivo complejo residencial de la playa de la Patacona. * Gastos de comunidad e IBI incluidos durante los tres primeros años de contrato.",False,good,False,True,12.0,{'typology': 'flat'},"{'subtitle': 'La Patacona, Alboraya', 'title': ""Piso en Paseo Serra d 'Espadá""}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
98641029,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9e/a9/b8/1018978757.jpg,KWK-136,7,2,1050.0,flat,rent,80.0,True,2,1,Avenida de França,València,València,Poblats Marítims,es,El Grau,39.457288,-0.3340239,False,https://www.idealista.com/inmueble/98641029/,"¿Buscas un piso nuevo a estrenar con mejores calidades? En Amarilo Inmobiliaria tenemos la oportunidad que esperabas, esta magnifica vivienda a estrenar y con muebles nuevos, según tus necesidades, La vivienda se encuentra en un edificio de 2021 con ascensor y zonas comunes, con parque infantil y zona de descanso.  La vivienda se compone de un amplio salón comedor muy luminoso, una cocina totalmente equipada con salida a su galería, un baño completo, y 2 dormitorios (uno doble con su armarios empotrados y otro sencillo).  En las calidades destacamos ventanas pvc, suelos de parquet, puerta blindada con cerradura de seguridad electrónica, puertas lacadas en blanco, aire frió/calor por conductos (aerotermia), iluminación completa por led. La cocina esta totalmente equipada con todos los electrodomésticos nuevos, placa, horno, frigorífico,lavadora, lavavajillas, etc. El piso se encuentra junto al puerto de Valencia y la famosa Marina del Real. A lado de todos los servicios, negocios, farmacia,... Esta muy cercano a la salida sur de la ciudad y muy accesible.  Ideal para vivir un piso tranquilo y acogedor.  El garaje opcional, a un precio de 80€/mes ¡No esperes más! Reserva ya tu cita y te enseñaremos cómo es tu nueva vivienda. **IMPORTANTE CONDICIONES DEL ALQUILER: alquiler larga estancia. 1 mes de fianza, 1 mes por adelantado y un 1 mes de honorarios de agencia. Se solicitará solvencia económica demostrable. En caso de no tener ingresos regulares en España, se requiere un seguro de impago** **Este anuncio no es vinculante, puede contener errores o variaciones. Se muestra a título informativo y no contractual** Somos Amarilo Inmobiliaria, por fin puedes alquilar tu casa desde cualquier parte del mundo con las máximas garantías de éxito y total seguridad en la Comunidad Valenciana.  En Amarilo inmobiliaria estamos siempre encantados de atender a nuestros clientes con una gran sonrisa, acompañándolos durante todo el proceso de alquiler de tu nueva vivienda. Nuestros consultores inmobiliarios son especialistas en el sector inmobiliario con más de 20 años de experiencia brindando un servicio excepcional, humano y de gran calidad.  Si quieres alquilar tu inmueble en tiempo récord, contáctanos y realizaremos una valoración de tu inmueble sin compromiso. ¿Hablamos? Estos son algunos de los idiomas que habla nuestro personal: Inglés, Alemán, Francés, Portugués, Chino, Árabe, Ucraniano y Ruso. Contamos con oficinas en Valencia Centro y Denia Centro (Alicante).",False,good,False,True,13.0,{'typology': 'flat'},"{'subtitle': 'El Grau, València', 'title': 'Piso en Avenida de França'}",False,False,False,False,False,False,,,
96281795,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/da/0e/ff/943234379.jpg,P460243R,27,1,1250.0,flat,rent,120.0,True,3,2,barrio La Punta,València,València,Quatre Carreres,es,La Punta,39.4489837,-0.341004,False,https://www.idealista.com/inmueble/96281795/,"Espectacular vivienda en el residencial Torre Oceanis.  El inmueble se distribuye zona de recibidor con gran armario empotrado, amplio salón comedor con salida a terraza, cocina de muy buen tamaño equipada con electrodomésticos y con salida a galería, habitación principal con armarios empotrados y baño en suite con bañera, dos habitaciones dobles con armarios empotrados y baño en zona común con plato de ducha. La vivienda cuenta con suelos de parquet, aire acondicionado frío/calor por conductos, calefacción por radiadores de gas natural, ventanas de doble cristal. En las zonas comunes se pueden disfrutar de piscina, jardín, parque infantil, gimnasio/sala de musculación, squash, club social, y sauna. Conserje 24 horas 365 días. Gran oportunidad de vivienda en una zona en auge de la ciudad, con la nueva parada de metro muy cercana y todos los servicios. *Gastos de comunidad e IBI incluidos en el precio.",False,good,False,True,10.0,{'typology': 'flat'},"{'subtitle': 'La Punta, València', 'title': 'Piso'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,
98640978,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f3/a6/7a/1018953084.jpg,CG-90686-0001,33,3,840.0,flat,rent,87.0,False,3,2,barrio Na Rovella,València,València,Quatre Carreres,es,Na Rovella,39.456756,-0.359877,False,https://www.idealista.com/inmueble/98640978/,"PROMOCIÓN: 1 MES DE ALQUILER GRATIS si reservas antes del 31 de agosto. Y además, ¡sin comisiones de agencia. Piso de 88 m² en alquiler de 3 dormitorios en la ciudad de Valencia. Situado en el barrio residencial de Quatre Carreres, próximo a la emblemática Ciudad de las Artes y las Ciencias, esta vivienda de segunda mano y 88 m², ofrece muy buena conexión tanto por transporte público (autobús líneas 12, 14, 18, 35, N9, estación de tren a 15 minutos caminando con las líneas C3, C5, C6 y regional), como privado y fácil acceso a las carreteras V-15, V-30 y V-21. Su cercanía a colegios, organismos públicos, parques, centros deportivos, supermercados, centro comercial El Saler, cafeterías, centro de salud, farmacias, el puerto y la playa de la Malvarrosa a 15 minutos, la convierten en una propuesta inteligente a un precio accesible. En una opción para construir un hogar y entrar a vivir de inmediato. La vivienda se encuentra en la tercera planta de un edificio construido en 1977. Tiene una superficie de 88 m² distribuidos en salón-comedor, 3 dormitorios, cocina amueblada con armarios altos y bajos y equipada con horno, vitrocerámica y campana extractora y 1 baño, lista para convertirse en su próxima vivienda en alquiler. Con nuestros servicios podrá encontrar la vivienda que necesita. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. Promoción válida para contratos firmados antes de 31 de agosto del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en webs y portales con detalle promocional de campaña identificado en descriptivo del anuncio.",False,good,False,False,10.0,{'typology': 'flat'},"{'subtitle': 'Na Rovella, València', 'title': 'Piso'}",True,False,True,False,False,False,,,
