propertyCode,propertyType,municipality,status,numPhotos,rooms,bathrooms,floor,size,priceByArea,parkingSpacePrice,exterior,hasVideo,hasPlan,has3DTour,has360,hasLift,isFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,latitude,longitude,price
97942302,countryHouse,Riba-Roja de Túria,good,23,5,2,0,140.0,6.0,0.0,False,False,False,False,False,False,True,False,False,39.5440713,-0.5662191,850.0
97956954,duplex,Manises,good,18,3,3,1,100.0,9.0,0.0,True,False,False,False,False,True,True,True,True,39.4996021,-0.4746026,900.0
98200619,flat,València,good,26,3,2,2,145.0,8.0,0.0,True,False,False,False,False,True,True,False,False,39.4662204,-0.3877347,1200.0
98341195,chalet,Godella,good,48,4,5,0,339.0,8.0,0.0,False,True,True,False,False,False,True,True,True,39.5290054,-0.4254499,2700.0
98015046,flat,València,good,21,3,2,0,103.0,17.0,0.0,True,True,False,False,False,True,True,False,False,39.4702657,-0.3316962,1800.0
97530419,flat,València,good,27,3,1,5,76.0,11.0,0.0,False,True,False,False,False,True,True,False,False,39.4703549,-0.3788548,850.0
97948804,chalet,Playa de Farnals,good,24,3,2,0,219.0,11.0,0.0,False,False,False,False,False,False,True,True,True,39.5672726,-0.2891678,2500.0
92008417,flat,València,good,26,2,2,3,70.0,12.0,0.0,True,False,False,False,False,True,True,True,True,39.4975864,-0.3918184,830.0
98029302,flat,València,good,29,3,1,6,92.0,8.0,0.0,True,False,False,False,False,True,True,False,False,39.4705792,-0.3473726,700.0
97561853,flat,València,good,21,3,2,8,100.0,11.0,0.0,True,False,False,False,False,True,True,False,False,39.4726387,-0.3499811,1050.0
98343131,flat,Burjassot,good,16,3,1,2,78.0,10.0,0.0,True,True,False,False,False,True,True,False,False,39.5097072,-0.4159748,750.0
94260211,flat,València,good,33,3,2,7,120.0,10.0,0.0,True,False,False,False,False,True,True,False,False,39.4752415,-0.3575121,1200.0
36562989,flat,València,good,11,1,1,6,72.0,13.0,0.0,True,False,False,False,False,True,True,False,False,39.4712632,-0.396032,900.0
98343051,penthouse,Rocafort,good,24,3,2,3,240.0,5.0,0.0,True,False,False,False,False,True,True,True,True,39.5475615,-0.4240748,1200.0
