propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,district,neighborhood,labels,newDevelopmentFinished
97693036,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/2b/e3/987270204.jpg,AV2203006-1,30,11,1500.0,penthouse,rent,80.0,True,3,2,Avenida de la Tarongina,València,Tavernes de la Valldigna,es,39.1010767,-0.2241471,False,https://www.idealista.com/inmueble/97693036/,"Ático en alquiler en Tavernes de la Valldigna   Ático luminoso en Tavernes de la Valldigna para alquiler vacacional. Tiene tres habitaciones, dos cuartos de baño, terraza muy amplia acristalada (45m2), terraza muy grande solarium (70m2) en la parte superior del apartamento. En el precio estaría incluida una plaza de garaje. La vivienda es un ático, está en una planta 11 con vistas espectaculares, mucha luz y muy ventilado. Tiene internet, esto iría a parte del precio. El apartamento sin contar terrazas tiene una superficie de aprox. 80 m2. Precios según temporada. Solo queda disponible el mes completo de Junio, primera quincena de Julio y mes completo de Septiembre. No dude en ponerse en contacto con nosotros, estaremos encantados de atenderle.",True,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",19.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Tavernes de la Valldigna', 'title': 'Ático en Avenida de la Tarongina'}",False,False,False,False,False,,,,
98039610,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1b/a7/a5/999079559.jpg,AV2206084,18,3,1600.0,flat,rent,193.0,True,4,1,Pinedo,València,Pinedo,es,39.4207254,-0.342421,False,https://www.idealista.com/inmueble/98039610/,"Piso en alquiler de 4 habitaciones en Pinedo Aproperties le presenta este magnífico piso en Pinedo. Este piso de 193 m², está distribuido en 4 amplias habitaciones con mucha luz natural. Dispone de un gran salón comedor, una cocina equipada y un baño. El piso está totalmente equipado, listo para entrar a vivir. Tiene calefacción central y aire acondicionado. Está situado en la 3ª plata, lo que le proporciona mucha iluminación. La zona dispone de excelentes servicios tales como, la playa, supermercados, farmacias, restaurantes, etc. Si desea más información sobre esta propiedad, no dude en contactar con nosotros, estaremos encantados de atenderle.",False,good,False,True,,8.0,{'typology': 'flat'},"{'subtitle': 'Pinedo', 'title': 'Piso'}",False,False,False,False,False,,,,
98042660,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4c/8b/b7/999164714.jpg,IM648,9,3,850.0,flat,rent,110.0,True,3,1,Calle Benasal,València,València,es,39.46359,-0.3274681,False,https://www.idealista.com/inmueble/98042660/,"SOLO ALQUILERES, les ofrece este magnifico piso FRENTE A LA PLAYA, para disfrutar todo el año y con todos los servicios cerca, autobuses, tranvía, etc. Se distribuye en comedor salón muy luminoso, con una amplia cocina completamente equipada y con todos los electrodomésticos necesarios. Tiene 3 habitaciones con armarios y con luz natural. El baño esta conservado y tiene una gran bañera. La vivienda se encuentra en una tercera planta sin ascensor. Es piso completamente preparado para vivir y en una inmejorable zona junto a la playa. Ven a visitarlo. 663701527 Isabel.",False,good,False,False,,8.0,{'typology': 'flat'},"{'subtitle': 'El Cabanyal-El Canyamelar, València', 'title': 'Piso en Calle Benasal'}",False,False,False,False,False,Poblats Marítims,El Cabanyal-El Canyamelar,,
98042528,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f0/f3/90/999161616.jpg,V1134,29,3,950.0,flat,rent,101.0,True,3,2,barrio El Carme,València,València,es,39.4791512,-0.380205,False,https://www.idealista.com/inmueble/98042528/,"Referencia: V1134    Acogedora vivienda en una de las zonas mas bonitas de Valencia. Ubicada al lado de los jardines del Turia y a pocos minutos del barrio del Carmen. Es una zona privilegiada, ya que esta cerca de las torres de Serrano. En el entorno encontramos zonas peatonales para disfrutar tanto del tardeo como de las noches mas movidas de Valencia. También dispone de paradas de bus cercanas y paradas de taxi.  Si te gustan las fallas, también dispone de un casal fallero muy cerca.  Y si lo que prefieres es salir a pasear, puedes disfrutar de las bonitas vistas de los jardines del Turia. O la zona peatonal del barrio del Carmen.    La vivienda se alquila amueblada. Dispone de tres habitaciones, dos baños, cocina con galería y un balcon en el cual se puede poner una mesa con sillas para disfrutar del ambiente.    Al acceder a la vivienda nos encontramos con un amplio recibidor y disponemos de una puerta blindada.    Una vez en el interior tenemos una amplia cocina, que dispone de una galería, la cual se puede usar de lavadero.    La primera habitación es la suite, la cual es tiene una cama de matrimonio y cuenta con un armario empotrado.     Los dos baños que dispone la vivienda, tienen plato de ducha y una gran columna de agua a presión para disfrutar de una buena ducha.    La segunda habitación dispone también de luz natural, ya que tiene una ventana que nos da al patio de luces y dispone de dos camas de un cuerpo. También tiene un armario empotrado.    El salón, se encuentra ubicado al final de la vivienda. Dispone de mesa con sillas y un sofá para relajarnos. Desde el mismo salón, disponemos de un ventanal con puertas correderas que nos da acceso al balcón donde podemos poner una mesa con sillas para disfrutar del clima.     Por ultimo, desde el mismo salón, también tenemos acceso a la ultima habitación. Esta ultima es un poco mas pequeña que el resto y esta preparada como estudio u oficina. Dispone de luz natural con su gran ventana que nos da directamente a la calle.    Si quieres disfrutar de lo mejor de Valencia, sin estar dentro del ruido, no dejes pasar esta oportunidad.  Dispone de ascensor, es muy luminosa y con posibilidad de garaje por 70€ /mes más. (El garaje se encuentra a 10min andando de la vivienda)     Imprescindible cumplir condicionado para el seguro de impagos, se aceptan mascotas.     Consulta condiciones y ven a visitarla, te encantará.    Nota: El alquiler de esta propiedad se gestiona mediante contrato de EXCLUSIVA COMPARTIDA. Por este motivo, se ruega no molestar al propietario, a los ocupantes de la propiedad, a los vecinos o conserjes del edificio o urbanización si los hubiera.  En el precio de la vivienda no están incluidos los honorarios de agencia.  Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual.",False,good,False,True,,9.0,{'typology': 'flat'},"{'subtitle': 'El Carme, València', 'title': 'Piso'}",False,False,True,False,False,Ciutat Vella,El Carme,,
98042519,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ba/40/ff/999161548.jpg,AV2206086,18,bj,900.0,flat,rent,45.0,True,1,1,Calle de Murillo,València,València,es,39.4741741,-0.382997,False,https://www.idealista.com/inmueble/98042519/,"Piso en alquiler de 1 habitación y terraza en Mercat Central CONTRATOS TEMPORALES CON UNA DURACIÓN DE UN MÍNIMO DE 6 MESES Y UN MÁXIMO DE 11 MESES. Bajo recién reformado con terraza, totalmente amueblado con electrodomésticos. La vivienda se divide en cuatro espacios diferenciados entre sí. La cocina está abierta al salón. Esta estancia está totalmente amueblada. El salón con sofá cheslong, mesa baja de salón, mesa y cuatro sillas, y la cocina con todos los electrodomésticos, horno, campana extractora, nevera, encimera, lavavajillas y lavadora. El baño es completo con ducha, inodoro, espejo de pared y mueble de baño. El dormitorio amueblado con cama grande y almacenamiento canapé y armario. Desde el dormitorio se accede a una terraza de 10 metros cuadrados dando una gran luminosidad a todas las estancias de la vivienda. Toda la vivienda tiene aire acondicionado frío-calor y con aislamientos en puertas y ventanas de PVC de gran calidad. Situado en una calle muy tranquila, a cinco minutos a pie del Mercado Central de Valencia y Torres de Quart. Tiene todos los servicios a su alrededor, supermercados, farmacias, colegios, universidad católica de Valencia… Si quiere tener más información o realizar una visita, estamos a su disposición.",False,good,False,True,,20.0,{'typology': 'flat'},"{'subtitle': 'El Pilar, València', 'title': 'Piso en Calle de Murillo'}",False,False,False,False,False,Ciutat Vella,El Pilar,,
98042463,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/09/d0/999160912.jpg,11100,15,3,1290.0,flat,rent,110.0,True,3,2,barrio El Pla del Remei,València,València,es,39.46879,-0.3665733,False,https://www.idealista.com/inmueble/98042463/,"Grupo Alain inmobiliaria, les ofrece, vivienda de 100m en obra nueva del año 2005, distribuida en gran salón comedor, cocina, tres dormitorios, dos de ellos doble y el tercero individual, todas las habitaciones con armarios empotrados. El dormitorio principal con baño. Dos balcones a la calle Jorge Juan. El piso se alquila sin mueble pero con electrodomésticos, esto es, frigorífico, lavadora, lavavajillas, horno, encimera, campana extractora, caldera y maquina de aire por conductos zonificada,     La vivienda dispones de calefacción individual de gas ciudad, aire acondicionado por conductos, regulador individual por zona, suelos de mármol serpesiante, ventanas y puertas exteriores de climalit.  No se admiten mascotas.    Solo con garantía de Aval o Cheque de entidad bancaria.",False,good,False,True,,12.0,{'typology': 'flat'},"{'subtitle': 'El Pla del Remei, València', 'title': 'Piso'}",False,False,False,False,False,L'Eixample,El Pla del Remei,,
98042205,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/89/8c/23/999156785.jpg,p-puig50,47,1,800.0,flat,rent,100.0,True,2,2,Calle el Puig,València,Paterna,es,39.5246094,-0.4350315,False,https://www.idealista.com/inmueble/98042205/,"Se alquila bonita propiedad en zona residencial Mas del Rosari, Paterna. Justo enfrente de la parada del tranvía y rodeado de todos los servicios de supermercados, transporte, farmacias, colegios, zonas de ocio, deporte, restauración y gastronomía, etc. Ideal para personas que busquen la zona de Universidades de Burjassot, Palacio de Congresos de Valencia, Hospital Imed, Casino Cirsa Valencia, o que simplemente busquen la tranquilidad de vivir en Residencial a 5 minutos del centro de Valencia.    La vivienda posee unos 80 metros cuadrados distribuidos en 2 habitaciones, 2 baños completos, uno en suite con bañera de hidromasaje, amplio salón comedor con salida a terraza con vistas panorámicas cocina independiente. Al ubicarse en finca semi nueva la vivienda posee además las comodidades propias de una vivienda moderna como son armarios empotrados, aire acondicionado y amplia y bonita terraza con vistas panorámicas. Se alquila completamente amueblado moderno y actual y con electrodomésticos de alta gama.   Plaza de garaje opcional por 50 euros más.    El Residencial es muy completo, con piscina rodeada de zonas ajardinadas, zonas de juegos para los niños, gimnasio, etc.    Se exige solvencia económica por seguro de impago. Dos meses de fianza.",False,good,False,True,,8.0,{'typology': 'flat'},"{'subtitle': 'Sotolivar - Mas del Rosari, Paterna', 'title': 'Piso en Calle el Puig'}",False,False,False,False,False,Sotolivar - Mas del Rosari,,,
97791775,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/21/15/7f/990563360.jpg,,40,2,1700.0,flat,rent,113.0,True,5,2,Plaza de José María Orense,València,València,es,39.4732956,-0.3403431,False,https://www.idealista.com/inmueble/97791775/,"ESTUDIANTES, DIRECTO DE PROPIEDAD SIN GASTOS DE COMISIÓN Piso de 5 habitaciones, totalmente exterior y con 2 terrazas, con reforma de hace un año, próximo a zonas universitarias. Equipamiento completo para el estudio, WIFI y TOMAS DE RED en cada habitación junto al escritorio. Aire acondicionado centralizado con bomba de calor en toda la vivienda. Cocina dotada de todo tipo de electrodomésticos, lavavajillas y menaje incluido. Smart TV con toma de red. Vivienda en zona totalmente consolidada y tranquila, con todo tipo de establecimientos y servicios. Por encontrarse a 10 metros de Blasco Ibáñez, la movilidad en transporte público es perfecta. No se admiten mascotas. GASTOS DE INTERNET INCLUIDOS EN EL PRECIO DEL ALQUILER.",False,good,False,True,,15.0,{'typology': 'flat'},"{'subtitle': 'La Carrasca, València', 'title': 'Piso en Plaza de José María Orense'}",False,False,False,False,False,Algirós,La Carrasca,,
97725193,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/33/db/4b/995047084.jpg,,39,1,1700.0,flat,rent,110.0,True,5,2,Calle José María Haro,València,València,es,39.4681261,-0.3394555,False,https://www.idealista.com/inmueble/97725193/,"ESTUDIANTES, DIRECTO DE PROPIEDAD SIN GASTOS DE COMISIÓN Piso de 5 habitaciones, totalmente exterior y con 2 terrazas, con reforma total a estrenar, próximo a zonas universitarias.  Equipamiento completo para el estudio, WIFI y TOMAS DE RED en cada habitación junto al escritorio. Aire acondicionado centralizado con bomba de calor en toda la vivienda.  Cocina dotada de todo tipo de electrodomésticos, lavavajillas y menaje  incluido. Smart TV de 55” con toma de red. Vivienda junto a un Mercadona en zona totalmente consolidada y tranquila, con todo tipo de establecimientos y servicios. Por su proximidad a Blasco Ibáñez, la movilidad en transporte público es perfecta. No se admiten mascotas. GASTOS DE INTERNET INCLUIDOS EN EL PRECIO DEL ALQUILER.",False,good,False,True,,15.0,{'typology': 'flat'},"{'subtitle': ""L'Illa Perduda, València"", 'title': 'Piso en Calle José María Haro'}",False,False,False,False,False,Algirós,L'Illa Perduda,,
98042144,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/67/4f/10/999153802.jpg,,16,4,800.0,flat,rent,71.0,True,3,1,Paseo de la Pechina,València,València,es,39.472354,-0.4020707,False,https://www.idealista.com/inmueble/98042144/,"REFORMADO A ESTRENAR TECNOCASA OLIVERETA dispone de una 4ª planta con ascensor, EXTERIOR con orientación norte y vistas al Jardin del Turia, muy luminoso. 3 HABITACIONES SALON CON VISTAS COCINA SIN ELECTRODOMESTICOS BAÑO CON PLATO DE DUCHA Ventanas de aluminio blanco con doble cristal Suelo de gres El edificio es del año 1961 está ubicado en el paseo la pechina. Ascensor a cota cero. Cabe destacar varios detalles de la vivienda, la superficie de la vivienda es de 71 m2 construidos. REQUISITOS. Imprescindible poder acreditar ingresos con nóminas y contrato de trabajo. La finca se encuentra ubicada en un entorno con gran variedad de comercios, farmacias, colegios y jardines. La situación de la vivienda permite una comunicación con el transporte público inmejorable, disponiendo de autobuses y paradas de Metro muy próximas.  ESTUDIO OLIVERETA 37, S. L. es una oficina franquiciada del Grupo Tecnocasa que empezó su actividad en el año 1997 en el barrio valenciano de Nou Moles, perteneciente al distrito de La Olivereta.",False,good,False,True,,11.0,{'typology': 'flat'},"{'subtitle': 'Nou Moles, València', 'title': 'Piso en Paseo de la Pechina'}",False,False,False,False,False,L'Olivereta,Nou Moles,,
